Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,general contingent,5,other,1,secondary education,4.804840381116659,eea,basic,secondary or some secondary,Service and Sales Workers,Unskilled Workers,1,0,0,1,1,0,3.0007198150650303,0,-2.3025850929940455,-2.3025850929940455,2.388762789235098,1.4,1.74,1
single,Other,1,other,1,secondary education,5.075798620002669,eea,secondary or some secondary,higher education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,0,0,1,0,2.9496883350525844,0,2.6461747973841225,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,5,social sciences,1,secondary education,4.804840381116659,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,0,1,0,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.388762789235098,1.4,1.74,1
single,general contingent,2,social sciences,1,secondary education,4.804840381116659,eea,basic,basic,Service and Sales Workers,Intermediate Level Technicians and Professions,1,0,0,1,0,0,3.0007198150650303,0,2.6048038511367193,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
married,Other,1,social sciences,0,secondary education,4.6061696863211745,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,3.8088822465086327,0,2.52038103798166,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
married,Other,1,social sciences,0,basic education,4.891851758106289,eea,basic,basic,Unskilled Workers,Industrial and Machine Operators,0,0,1,1,1,0,3.914021008090819,0,2.4813288284401165,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,1,health sciences,1,secondary education,4.956531035103055,eea,basic,basic,Industrial and Machine Operators,Military and Armed Forces,1,0,0,1,0,1,2.89591193827178,0,2.5952547069568657,-2.3025850929940455,2.747270914255491,2.8,-4.06,0
single,general contingent,4,other,1,secondary education,4.779963476361254,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,0,1,0,3.095577608523707,0,-2.3025850929940455,-2.3025850929940455,2.747270914255491,2.8,-4.06,1
single,general contingent,3,social sciences,1,secondary education,4.920710586568268,eea,secondary or some secondary,secondary or some secondary,Unskilled Workers,Unskilled Workers,0,0,0,1,0,1,3.0492730404820207,1,2.637270019041163,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,1,social sciences,1,secondary education,4.9279780604152466,eea,secondary or some secondary,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,1,0,0,0,2.89591193827178,0,2.4423470353692043,-2.3025850929940455,2.1972245773362196,1.4,3.51,1
single,general contingent,1,social sciences,1,secondary education,4.935193098929397,eea,basic,basic,Service and Sales Workers,Industrial and Machine Operators,1,0,0,1,0,0,2.89591193827178,0,2.52038103798166,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,general contingent,1,health sciences,1,secondary education,4.91338990965742,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,0,1,2.89591193827178,0,2.588837572636232,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,general contingent,2,social sciences,1,secondary education,4.891100725401066,eea,basic,basic,Administrative and Office Workers,Unskilled Workers,1,0,0,1,0,0,2.9496883350525844,0,-2.3025850929940455,-2.3025850929940455,2.5494451709255714,3.7,-1.7,1
single,Other,1,other,1,professional qualification,4.701389043728634,eea,secondary or some secondary,secondary or some secondary,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,0,1,3.0492730404820207,0,2.3675699430834585,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,1,other,1,secondary education,5.004617221770693,eea,basic,basic,Service and Sales Workers,Service and Sales Workers,1,0,0,1,0,1,2.89591193827178,0,2.5915163848462583,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,general contingent,1,social sciences,1,secondary education,4.844974178195408,eea,basic,basic,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,0,1,0,0,3.0007198150650303,0,2.587764035227708,-2.3025850929940455,2.747270914255491,2.8,-4.06,1
single,general contingent,1,social sciences,1,secondary education,4.920710586568268,eea,basic,basic,Service and Sales Workers,Industrial and Machine Operators,1,0,0,1,0,0,2.89591193827178,0,2.4932054526026954,-2.3025850929940455,2.388762789235098,1.4,1.74,0
single,general contingent,2,health sciences,1,secondary education,4.906015244966153,eea,basic,secondary or some secondary,Service and Sales Workers,Administrative and Office Workers,1,0,0,1,0,0,2.89591193827178,0,2.5957210161282904,-2.3025850929940455,2.747270914255491,2.8,-4.06,0
single,general contingent,1,other,1,secondary education,4.920710586568268,eea,higher education,basic,Intermediate Level Technicians and Professions,Service and Sales Workers,1,0,0,1,0,0,3.0007198150650303,0,2.533696813957432,0.09531017980432493,2.388762789235098,1.4,1.74,0
single,general contingent,1,social sciences,1,secondary education,4.942356453342962,eea,basic,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,0,0,2.89591193827178,0,2.4652706752711415,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,3,other,1,secondary education,4.804840381116659,eea,secondary or some secondary,secondary or some secondary,Unskilled Workers,Industrial and Machine Operators,0,0,0,1,0,1,3.0492730404820207,0,-2.3025850929940455,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,4,health sciences,1,secondary education,4.844974178195408,eea,secondary or some secondary,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,0,0,3.0007198150650303,0,2.4456025998289705,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,general contingent,4,health sciences,1,secondary education,4.956531035103055,eea,basic,basic,leadership and management,leadership and management,1,0,0,1,0,0,2.89591193827178,0,2.5616472080657777,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,general contingent,4,social sciences,1,secondary education,4.829113417472866,eea,secondary or some secondary,basic,Administrative and Office Workers,Industrial and Machine Operators,1,0,0,1,0,1,2.9496883350525844,0,2.600836116795061,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,1,health sciences,1,secondary education,4.837075242970874,eea,basic,basic,Intermediate Level Technicians and Professions,Industrial and Machine Operators,0,0,0,1,0,0,2.9496883350525844,0,2.595005919793,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,1,social sciences,1,secondary education,5.017941869278694,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,1,1,0,1,2.89591193827178,0,2.4595888418037104,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,general contingent,2,social sciences,1,secondary education,4.745801315727837,eea,basic,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,0,0,3.0492730404820207,0,2.440170755946609,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,1,other,1,secondary education,4.9279780604152466,eea,basic,basic,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,0,1,0,0,2.89591193827178,0,2.5468376075184906,0.7419373447293773,2.2512917986064953,-0.8,-3.12,0
single,general contingent,1,social sciences,1,secondary education,4.906015244966153,eea,basic,secondary or some secondary,Unskilled Workers,Unskilled Workers,1,0,0,1,0,0,3.0007198150650303,0,2.4932054526026954,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,general contingent,2,health sciences,1,secondary education,4.844974178195408,eea,higher education,higher education,leadership and management,Military and Armed Forces,1,0,0,1,1,0,2.9496883350525844,0,2.5675101783232104,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,Other,1,technology,1,professional qualification,5.011301738639416,eea,higher education,higher education,Administrative and Office Workers,professionals and specialists,0,0,0,1,1,0,3.0492730404820207,0,2.4813288284401165,-2.3025850929940455,2.791165107812717,0.3,-0.92,0
single,Other,1,social sciences,1,secondary education,4.829113417472866,eea,professional qualification,higher education,professionals and specialists,professionals and specialists,1,0,0,1,1,0,3.0007198150650303,0,2.559807957961118,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,1,social sciences,1,secondary education,4.963543686562405,eea,secondary or some secondary,secondary or some secondary,Administrative and Office Workers,Agricultural and Skilled Workers,0,0,0,0,1,0,2.89591193827178,0,2.4365330655037845,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,1,social sciences,0,secondary education,4.9279780604152466,eea,basic,secondary or some secondary,Unskilled Workers,Service and Sales Workers,1,0,0,1,0,0,2.9496883350525844,0,2.5468376075184906,-2.3025850929940455,2.5257286443082556,0.5,1.79,0
single,general contingent,1,social sciences,0,secondary education,4.86830338551846,eea,higher education,basic,Intermediate Level Technicians and Professions,Unskilled Workers,0,0,0,1,1,0,3.529297384289471,0,2.5257286443082556,-2.3025850929940455,2.6390573296152584,-0.3,0.79,0
single,Other,1,technology,1,secondary education,4.86830338551846,eea,basic,basic,Unskilled Workers,Agricultural and Skilled Workers,0,0,1,0,1,0,3.6136169696133895,0,-2.3025850929940455,-2.3025850929940455,2.1972245773362196,1.4,3.51,1
single,Other,1,technology,1,secondary education,4.891851758106289,eea,little to no education,basic,students,students,1,0,0,1,1,0,3.763522997109702,0,-2.3025850929940455,-2.3025850929940455,2.0412203288596382,2.6,0.32,1
single,Other,1,social sciences,1,secondary education,4.942356453342962,eea,basic,basic,Agricultural and Skilled Workers,Agricultural and Skilled Workers,0,0,0,1,0,0,4.009149716158869,0,2.312535423847214,-2.3025850929940455,2.791165107812717,0.3,-0.92,1
other,Other,1,social sciences,0,secondary education,4.788324729085938,eea,basic,basic,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,0,1,0,0,3.66612246699132,0,2.4069451083182885,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,Other,1,other,1,professional qualification,4.788324729085938,eea,higher education,higher education,Intermediate Level Technicians and Professions,Agricultural and Skilled Workers,0,0,1,0,0,0,3.0007198150650303,1,2.4652706752711415,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,general contingent,5,social sciences,1,secondary education,4.837075242970874,eea,higher education,higher education,professionals and specialists,professionals and specialists,0,0,1,1,0,0,2.89591193827178,0,2.553343811341229,-2.3025850929940455,2.5494451709255714,3.7,-1.7,1
single,general contingent,2,social sciences,1,secondary education,4.891100725401066,eea,higher education,basic,professionals and specialists,Industrial and Machine Operators,1,0,0,1,0,0,3.095577608523707,0,2.7013612129514133,-2.3025850929940455,2.1972245773362196,1.4,3.51,0
single,general contingent,6,health sciences,1,secondary education,4.635699391022914,eea,secondary or some secondary,higher education,professionals and specialists,professionals and specialists,1,1,0,1,0,0,3.095577608523707,0,2.6410553322779315,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,1,social sciences,1,secondary education,4.788324729085938,eea,secondary or some secondary,basic,Service and Sales Workers,Service and Sales Workers,0,0,0,0,0,0,3.0007198150650303,0,2.5726122302071057,-2.3025850929940455,2.5257286443082556,0.5,1.79,1
single,Other,1,social sciences,0,secondary education,4.891851758106289,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,3.370738174177447,0,-2.3025850929940455,-2.3025850929940455,2.791165107812717,0.3,-0.92,1
single,general contingent,1,social sciences,0,secondary education,5.03760174232607,eea,basic,basic,Administrative and Office Workers,Service and Sales Workers,0,0,0,1,0,0,3.1822118404966093,0,2.451005098112319,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,general contingent,2,social sciences,1,secondary education,4.86830338551846,eea,basic,basic,Unskilled Workers,Unskilled Workers,1,0,0,1,0,0,2.89591193827178,0,2.4652706752711415,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,general contingent,6,health sciences,1,secondary education,4.883559211528279,eea,basic,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,0,1,3.095577608523707,0,2.6112945326379022,-2.3025850929940455,2.4159137783010487,0.6,2.02,0
single,Other,1,social sciences,0,professional qualification,4.86830338551846,eea,secondary or some secondary,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,1,3.0492730404820207,0,2.451005098112319,-2.3025850929940455,2.5257286443082556,0.5,1.79,0
single,general contingent,1,social sciences,1,secondary education,4.935193098929397,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,1,2.9496883350525844,0,2.52038103798166,-2.3025850929940455,2.5494451709255714,3.7,-1.7,0
single,Other,1,other,1,secondary education,4.86830338551846,eea,basic,basic,Unskilled Workers,Industrial and Machine Operators,0,0,0,1,0,1,3.1822118404966093,0,2.6222502112988773,-2.3025850929940455,2.5257286443082556,0.5,1.79,0
single,general contingent,1,health sciences,1,secondary education,4.935193098929397,eea,basic,basic,Agricultural and Skilled Workers,Agricultural and Skilled Workers,1,0,0,1,0,1,2.9496883350525844,0,2.479335604738545,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
single,general contingent,1,social sciences,1,secondary education,4.844974178195408,eea,secondary or some secondary,basic,Industrial and Machine Operators,Industrial and Machine Operators,1,0,0,1,0,1,3.0007198150650303,0,2.6461747973841225,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,0
single,general contingent,3,other,1,secondary education,5.118592435601348,eea,basic,basic,Other Situations and Blanks,Other Situations and Blanks,0,0,0,1,0,0,2.9496883350525844,0,2.695591966180168,-2.3025850929940455,2.0412203288596382,2.6,0.32,0
single,Other,1,social sciences,0,secondary education,4.86830338551846,eea,basic,basic,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,3.299533727885655,0,2.3702437414678603,-2.3025850929940455,2.2512917986064953,-0.8,-3.12,1
single,general contingent,1,health sciences,1,secondary education,4.86830338551846,eea,secondary or some secondary,basic,Service and Sales Workers,Service and Sales Workers,1,0,0,1,0,0,2.89591193827178,0,2.5759991936481215,-2.3025850929940455,2.747270914255491,2.8,-4.06,0
